"","X","Job_Title","Industry","State","Salary","Date","SalaryCleaned","Extra","SalaryUnit","Units","JobDate","weekday"
"481",481,"Research Scientist (FMP Eco-Acoustics)","(Science & Technology)","WA","PSCA, Spec Calling Level 2, $102,808 - $112,645",10,NA,NA,NA,"No",2023-06-16,6
"482",482,"Odoo ERP Manager","(Information & Communication Technology)","WA",NA,10,NA,NA,NA,"No",2023-06-16,6
"483",483,"Graduate Quantitative Researcher, 2024","(Banking & Financial Services)","NSW","$140,000 per year + attractive bonus package",20,1.4e+08,NA,"PerYear","Yes",2023-06-06,3
"484",484,"Research Scientist (Climate Adaptation Fauna Ecologist)","(Science & Technology)","WA","PSCA, Spec Calling Level 2, $102,808 - $112,645",12,NA,NA,NA,"No",2023-06-14,4
"485",485,"Data Networks Common Operating Picture Manager","(Government & Defence)","NSW",NA,4,NA,NA,NA,"No",2023-06-22,5
"486",486,"Health Informatics & Data Analytics Officer","(Information & Communication Technology)","VIC",NA,26,NA,NA,NA,"No",2023-05-31,4
"487",487,"Laboratory Technician","(Science & Technology)","NSW","$50,000 – $70,000 per year",4,50000,NA,"PerYear","No",2023-06-22,5
"488",488,"Analyst - Market Modelling","(Mining, Resources & Energy)","QLD",NA,5,NA,NA,NA,"No",2023-06-21,4
"489",489,"Data Platform Architect","(Information & Communication Technology)","VIC",NA,10,NA,NA,NA,"No",2023-06-16,6
"490",490,"Associate Research Fellow","(Education & Training)","NSW","$84,935 – $99,509 + 17% superannuation",4,NA,NA,NA,"No",2023-06-22,5
"491",491,"Engineering Data Controller","(Administration & Office Support)","NSW",NA,12,NA,NA,NA,"No",2023-06-14,4
"492",492,"EL 1 - Data Manager","(Government & Defence)","SA","$108,195 - $122,044 (plus Super)",10,NA,NA,NA,"No",2023-06-16,6
"493",493,"EL 1 - Data Manager","(Government & Defence)","SA","$108,195 - $122,044 (plus Super)",10,NA,NA,NA,"No",2023-06-16,6
"494",494,"Vertical Sales BDM - Data Centers","(Sales)","NSW",NA,4,NA,NA,NA,"No",2023-06-22,5
"495",495,"Senior Policy Advisor- Indigenous Data Sovereignty","(Community Services & Development)","NSW","$90,000 – $120,000 per year",19,90000,NA,"PerYear","No",2023-06-07,4
"496",496,"Senior Data Modeller","(Information & Communication Technology)","NSW","$200k package + 15% bonus",23,NA,NA,NA,"Yes",2023-06-03,7
"497",497,"Sleep Scientist / Sleep Technologist - Research","(Healthcare & Medical)","NSW",NA,13,NA,NA,NA,"No",2023-06-13,3
"498",498,"Engineering Chapter Lead","(Information & Communication Technology)","VIC",NA,5,NA,NA,NA,"No",2023-06-21,4
"499",499,"Associate Professor in Computer Science","(Education & Training)","St","$154254.09 - $169941.34 p.a. + super of up to 17%",9,NA,NA,NA,"No",2023-06-17,7
"500",500,"Solution Architect - Data","(Information & Communication Technology)","QLD","$151K - $188K per annum + superannuation",11,151000,NA,"PerYear","Yes",2023-06-15,5
